"case_1","case_2","accused_in_common"
"Caso Gürtel/Ayto. de Jerez","Caso Gürtel/Visita del Papa",2
"Caso Gürtel/Boadilla","Caso Gürtel/Caja B PP Valencia",3
"Caso Gürtel/Boadilla","Caso Gürtel/Visita del Papa",6
"Caso Gürtel/Caja B PP Valencia","Caso Gürtel/Primera Época",2
"Caso Gürtel/Caja B PP Valencia","Caso Gürtel/Visita del Papa",4
"Caso Gürtel/Contratos Valencia","Caso Gürtel/Visita del Papa",3
"Caso Gürtel/Fitur","Caso Gürtel/Visita del Papa",4
"Caso Gürtel/Primera Época","Caso Gürtel/Visita del Papa",3
"Caso Gürtel/Fitur","Caso Valmor Fórmula 1",1
"Caso Gürtel/Visita del Papa","Caso Valmor Fórmula 1",1
"Caso Pokemon/Grúa de Lugo","Caso Pokemon/Miño-Sil",1
"Caso Pokemon/Miño-Sil","Caso Pokemon/Vendex",1
"Caso CAM/Caribe","Caso Erial",1
"Caso ERE/Pieza Política","Caso Umax",4
"Caso ERE/A-NOVO","Caso ERE/Acyco",3
"Caso ERE/A-NOVO","Caso ERE/Aglomerados Morell",2
"Caso ERE/A-NOVO","Caso ERE/Alcolea del Río",1
"Caso ERE/A-NOVO","Caso ERE/Ayuntamiento San Nicolás",1
"Caso ERE/A-NOVO","Caso ERE/CENFORPRE",1
"Caso ERE/A-NOVO","Caso ERE/Egmasa",1
"Caso ERE/A-NOVO","Caso ERE/Empresa ABB",1
"Caso ERE/A-NOVO","Caso ERE/Franja Pirítica",1
"Caso ERE/A-NOVO","Caso ERE/Guerrero y Trujillo",1
"Caso ERE/A-NOVO","Caso ERE/Hamsa Primayor",2
"Caso ERE/A-NOVO","Caso ERE/Heineken España",1
"Caso ERE/A-NOVO","Caso ERE/Instaladora Moderna",2
"Caso ERE/A-NOVO","Caso ERE/Matadero Fuenteobejuna",1
"Caso ERE/A-NOVO","Caso ERE/Nexprom",1
"Caso ERE/A-NOVO","Caso ERE/Peninsular del Latón",1
"Caso ERE/A-NOVO","Caso ERE/Pieza Política",3
"Caso ERE/A-NOVO","Caso ERE/Río Grande",2
"Caso ERE/A-NOVO","Caso ERE/Santana Motor",2
"Caso ERE/A-NOVO","Caso ERE/Siemens Metering",1
